Segment,Respondent_Serial,NPS1_1,NPS_Recode,NPS2
ISP,285,0,Detractor,"Frontier literally has a monopoly on the county where I live, the phone service is unreliable and the DSL runs close to dial-up speed when it even works, It takes weeks to get a service call and they're expensive to boot."
ISP,286,8,Passive,good service but expensive
ISP,289,0,Detractor,Cox is too expensive!!!!!!
ISP,290,6,Detractor,was not happy with their TV services
ISP,293,9,Promoter,competitive price
ISP,295,6,Detractor,Bright House is expensive
ISP,296,5,Detractor,They seem expensive and are only 1 of 2 options available to me in my area.
ISP,297,0,Detractor,
ISP,298,8,Passive,"The service is dependable, but it is a bit pricey"
ISP,301,6,Detractor,
ISP,303,6,Detractor,loses signal too often
ISP,305,2,Detractor,
ISP,306,8,Passive,
ISP,308,9,Promoter,never a problem no outages
ISP,313,10,Promoter,I like the service I get
ISP,314,5,Detractor,
ISP,315,7,Passive,only available
ISP,316,7,Passive,i got usto to them
ISP,322,0,Detractor,It is my habit to never recommend.
ISP,323,5,Detractor,Too expensive!
ISP,326,9,Promoter,"I have Comcast and very, very satisfied. Would reccommend"
ISP,328,7,Passive,not as good as  they used to be
ISP,329,9,Promoter,
ISP,330,5,Detractor,they are iffy
ISP,332,0,Detractor,Internet speed is too slow compared to other providers
ISP,333,8,Passive,good customer service
ISP,335,8,Passive,good service
ISP,337,10,Promoter,I like the bundle package.
ISP,338,9,Promoter,
ISP,341,8,Passive,good service
ISP,342,8,Passive,pixelation at times
ISP,343,4,Detractor,too expensive
ISP,344,8,Passive,"Reliable service, and like it."
ISP,348,10,Promoter,
ISP,350,9,Promoter,
ISP,351,9,Promoter,"great service, very few service interruptions"
ISP,354,10,Promoter,long time association (15 plus years)
ISP,362,5,Detractor,price
ISP,363,5,Detractor,
ISP,369,4,Detractor,pricing is too high
ISP,371,8,Passive,Service good
ISP,372,7,Passive,The service is very expensive and I dont think its worth the price. it does have a lot to offer per television viewing but often theres even separate charges for that that arent covered with ones initial package.. Also services outages
ISP,374,3,Detractor,Verizon service is fairly consistent and customer service is good.
ISP,377,10,Promoter,Reliable phone and internet.
ISP,379,8,Passive,I've had great service and great customer service.
ISP,380,4,Detractor,"Overpriced for one, and was a hassle to get hooked up along with bad service on thier end"
ISP,381,0,Detractor,really expensive
ISP,384,5,Detractor,
ISP,385,6,Detractor,
ISP,386,10,Promoter,
ISP,387,8,Passive,"It is good, but it's expensive and the signal isn't always reliable"
ISP,390,5,Detractor,
ISP,391,2,Detractor,Poor service. Internet woes down quite a bit and the telephone service has an interference noise at times.
ISP,392,8,Passive,
ISP,394,7,Passive,quality of service
ISP,395,8,Passive,"The company is adequate.  I wish their rates were cheaper, but their service works."
ISP,397,8,Passive,
ISP,399,0,Detractor,Direct TV too expensive
ISP,400,8,Passive,fhzsruysy styjsystysty  gfhsah
ISP,403,9,Promoter,I just think AT&T is a good company
ISP,405,10,Promoter,works well
ISP,407,1,Detractor,too expensive
ISP,408,7,Passive,
ISP,409,10,Promoter,good service
ISP,410,6,Detractor,The customer service is lacking
ISP,412,9,Promoter,no problems
ISP,414,10,Promoter,they have great service reception and good customer service
ISP,415,9,Promoter,have had good service with Century Link
ISP,417,10,Promoter,I Love this company
ISP,419,9,Promoter,
ISP,420,9,Promoter,I like the service and the price
ISP,422,8,Passive,is good
ISP,423,8,Passive,excellent service but high price
ISP,424,5,Detractor,not sure
ISP,425,8,Passive,"We have basic cable, no premium channels, and service generally is good.  We are experiencing disruptions in service (screen freezing and show ending abruptly) more frequently lately; many shows not offered On Demand; now charging a fee to watch shows that previously were available for free, etc."
ISP,426,7,Passive,
ISP,427,10,Promoter,Great customer service
ISP,428,10,Promoter,
ISP,429,8,Passive,too expensive
ISP,430,4,Detractor,lousy service
ISP,431,7,Passive,fair price good service
ISP,433,10,Promoter,TO BE COMPLETE
ISP,434,7,Passive,"service is sketchy, price always going up and don't offer any specials for regular customers"
ISP,435,7,Passive,
ISP,437,9,Promoter,
ISP,438,8,Passive,
ISP,439,5,Detractor,Price
ISP,441,8,Passive,
ISP,442,9,Promoter,
ISP,443,8,Passive,price service and bundle
ISP,445,10,Promoter,Verizon strives to make sure their customers are happy with their service
ISP,446,7,Passive,"long time customer, not many other providers in my area that have been around as long or have the capabilities as time warner"
ISP,447,8,Passive,better channels
ISP,450,8,Passive,the gunt and the taint is what is good and what have you if you will and such
ISP,451,6,Detractor,"I had to choose company when moved, only because, it's the only one that has INTERNET in my area moved to, it's slowest company"
ISP,454,8,Passive,its a family affair
ISP,456,1,Detractor,hate bundleing
ISP,457,8,Passive,very reliable service
ISP,459,5,Detractor,
ISP,460,5,Detractor,
ISP,461,10,Promoter,Because is pro
ISP,462,7,Passive,i like the service
ISP,463,4,Detractor,
ISP,464,0,Detractor,They keep raising their prices.
ISP,467,5,Detractor,it's true!
ISP,468,5,Detractor,"They are too expensive and the service isn't always that great, e.g. interference on picture quality.  However, until recently they were pretty much the only game in town and I locked in a rate that will expire in January allowing me to switch to FIOS which is relatively new in the area"
ISP,469,2,Detractor,prices are high and customer service is poor
ISP,471,4,Detractor,price
ISP,472,5,Detractor,
ISP,474,10,Promoter,
ISP,475,2,Detractor,"shitty customer service, poor rates/high prices, bad internet connection"
ISP,480,4,Detractor,priced too high
ISP,482,5,Detractor,It is too expensive to be rated higher
ISP,483,6,Detractor,
ISP,484,7,Passive,
ISP,485,7,Passive,
ISP,486,9,Promoter,"Is a company that I trust, and have used them now for over 30 year"
ISP,487,6,Detractor,lots of freeze ups and too high
ISP,488,10,Promoter,Speed and uptime.
ISP,489,9,Promoter,"TWC IS VERY DEPENDABLE. IT DIDNOT GET A TOWN BECAUSE OF THE EXPENSE, IT IS EXPENSIVE"
ISP,491,3,Detractor,"expensive, noisy, uncaring"
ISP,493,6,Detractor,The rates for Television and Internet services are rather high
ISP,494,3,Detractor,Promised higher DSL speeds than what were actually provided.
ISP,496,10,Promoter,i like is amazing company
ISP,499,6,Detractor,
ISP,500,10,Promoter,I like the service and the deal i get with the service
ISP,502,7,Passive,I have been happy with their customer service so far
ISP,504,9,Promoter,they are dependable
ISP,505,7,Passive,
ISP,506,5,Detractor,Customer service is not very good
ISP,507,9,Promoter,EASIER TO HAVE ALL WITH ONE COMPANY AND ONE BILL
ISP,508,8,Passive,I've used Optimum for years  and it is good
ISP,511,10,Promoter,IT IS GOOD
ISP,512,0,Detractor,
ISP,513,7,Passive,"They are relatively inexpensive, but their rates go up on a regular basis. They are cheaper than other options."
ISP,514,3,Detractor,too many raises in costs of service
ISP,517,6,Detractor,outrageous pricing and increases
ISP,520,2,Detractor,I only two choices: TWC or AT&T. TWC is the lessor of 2 evils. I wouldn't recommend either company!
ISP,521,9,Promoter,"They have always had great service, though they do price things quite a bit higher than other companies."
ISP,524,10,Promoter,
ISP,525,5,Detractor,
ISP,526,7,Passive,
ISP,527,10,Promoter,
ISP,529,9,Promoter,"i like the service they provide,good customer service"
ISP,530,5,Detractor,
ISP,531,2,Detractor,I generally don't recommend things to other people unless it's something I really like a lot and with which I am extremely satisfied.
ISP,532,5,Detractor,I don't like them but I have no choice at this time; they lied about sales promotion and have yet to provide visa reward card. In the beginning of our contract when we signed up they would send fake visa cards as if a joke but never the real thing; nearly a year now and nothing as promised when I phoned them to signed on; they say 'oh we have a promotion going on right now where you receive this for such price and to date that price has gone up from day one. The service seems good since no trouble with connection but this could change as well. I have received many cranks calls and I feel it is from Comcast since I am not employed and stay at home all day and when the billing is due they want it that day; so the calls are worse as well as my emails. OK so it is paranoia and false accusation but surely I believe all that I have typed. I should hushed since I can be made to regret these comments.
ISP,533,0,Detractor,they are a monopoly that refuses to post pricing for consumers to make their own choices for services. I want to see prices for services and pick the ones I want!
ISP,537,8,Passive,The price is rather high so I wish our cost was lower
ISP,540,10,Promoter,They provide great service.
ISP,541,0,Detractor,"extremely unreliable, slow"
ISP,542,7,Passive,Average customer service and overpriced
ISP,543,5,Detractor,The service is out often and it's semi-expensive
ISP,547,6,Detractor,their rates have really increased and they're getting extra charges for digital converter units since they recently stopped all analog signals.
ISP,549,8,Passive,question says direct for tv I have Uverse and would highly (10 ) recommend
ISP,551,4,Detractor,poor service and high prices
ISP,552,10,Promoter,I absolutely love the service and reliability
ISP,554,0,Detractor,Terrible customer service. A lot of problems with service and pricing.
ISP,555,9,Promoter,I am satisfied with the service we receive
ISP,556,9,Promoter,haven't had any problems with them
ISP,557,10,Promoter,Excellent fast and reliable service.
ISP,559,7,Passive,
ISP,560,9,Promoter,
ISP,561,10,Promoter,
ISP,562,9,Promoter,happy with services
ISP,563,9,Promoter,have usually provided good service and I don't like ATT or Comcast.
ISP,565,6,Detractor,"the only other competitor is AT&T, which is horrible"
ISP,570,0,Detractor,"high,constantly increasing, cost"
ISP,571,7,Passive,"For the most part charter is good; however, the price is high. Also, frustrating dealing with them when you have an issue."
ISP,577,8,Passive,Good programming and excellent service.
ISP,578,9,Promoter,fast downloads
ISP,581,1,Detractor,"Less channels, more expensive"
ISP,582,5,Detractor,"THEY'RE FAIRLY RELIABLE, BUT EXPENSIVE AND NEVER GIVE LONG TERM CUSTOMERS GOOD DEALS. ONLY NEW CUSTOMERS GET GOOD PRICES FOR A SHORT TIME."
ISP,588,8,Passive,
ISP,592,10,Promoter,I pay a good price and the internet is really good and fast.
ISP,594,6,Detractor,Have had issues with internet and service in past
ISP,595,10,Promoter,great service
ISP,598,7,Passive,no experience with other companies
ISP,603,0,Detractor,Comcast reliability and customer service SUCK!
ISP,608,9,Promoter,My service has been excellent.
ISP,609,2,Detractor,costly
ISP,611,2,Detractor,slow
ISP,612,0,Detractor,i never recommend anything to anybody.
ISP,613,5,Detractor,
ISP,614,10,Promoter,
ISP,615,8,Passive,good service
ISP,618,0,Detractor,
ISP,619,7,Passive,They are ok n i think i wouod say good things about my bundle
ISP,620,10,Promoter,
ISP,621,7,Passive,
ISP,623,8,Passive,"Very reliable, good choices of channels, a bit overpriced"
ISP,625,8,Passive,I've been with them for years and never had any major technical problems.
ISP,626,9,Promoter,
ISP,627,8,Passive,"Few interruptions,service above average"
ISP,628,8,Passive,"att is good most of the time, bud sometimes my internet goes out."
ISP,629,8,Passive,I'm satisfied with the service
ISP,631,6,Detractor,
ISP,634,6,Detractor,
ISP,636,0,Detractor,Their internet is slower than molasses. I can be in the middle of a game on line and it stalls so I can't move or do anything for 1-2 minutes of my time.
ISP,637,7,Passive,they're okay; good customer service
ISP,638,6,Detractor,
ISP,640,7,Passive,
ISP,643,3,Detractor,"poor quality, poor customer service"
ISP,644,9,Promoter,I like att
ISP,646,10,Promoter,like them
ISP,650,5,Detractor,
ISP,651,8,Passive,It works very well for us.
ISP,655,6,Detractor,
ISP,657,5,Detractor,because they are no better or worse than other options
ISP,658,9,Promoter,good service
ISP,659,10,Promoter,because it's cheap
ISP,660,8,Passive,"I am happy with my phone, but my internet is slow."
ISP,663,3,Detractor,too high
ISP,664,10,Promoter,
ISP,665,8,Passive,
ISP,666,4,Detractor,they are getting too expensive.they raised their price twice last year and probably will do it again this year.
ISP,668,10,Promoter,MEET 100% of my needs
ISP,669,9,Promoter,All services work very well and at a decent price.
ISP,670,9,Promoter,
ISP,673,6,Detractor,
ISP,674,10,Promoter,good serives
ISP,676,5,Detractor,
ISP,677,10,Promoter,cheapest in this area
ISP,678,8,Passive,"I really like the service, but their rates are too high and they keep going up without getting any better."
ISP,679,8,Passive,"phone and internet are a 10!  TV is a 5.  Average is about 8.  Too many glitches/recording problems with TV service.  Multi-Room DVR is great, but not consistent"
ISP,680,10,Promoter,"I live in a small isolated town without a lot of communication choices. In all fairness to century link however, the company has done a good job of taking care of my needs."
ISP,684,5,Detractor,Bad experience
ISP,687,10,Promoter,great service
ISP,688,4,Detractor,I don't get asked for recommendaions as my firends already have more services than I do and my family is not in the area.
ISP,694,9,Promoter,good services with Charter
ISP,695,9,Promoter,I would recommend their service because it's reliable.
ISP,699,9,Promoter,its good
ISP,700,8,Passive,"Service is ok, channel selection could be better."
ISP,702,10,Promoter,free access to HBO Go
ISP,705,3,Detractor,
ISP,707,2,Detractor,I feel they are grossly overpriced and the service where we live stinks.  I am tired of paying for channels I do not watch!  The only reason I have not switched my provider is that no one else is available where I live.
ISP,711,10,Promoter,best we have ever had
ISP,712,6,Detractor,
ISP,713,7,Passive,previously used att uverse.  Charter dvr is limited to 2 recordings at thge same time and cannot view recordings on second tv in home.l  also internet speed appears to be slower than att. giving serious thought to switchng back although Charter costs less.
ISP,714,7,Passive,Am quite satisfied
ISP,715,10,Promoter,"Great service, and fast repair / response if there is a problem."
ISP,717,7,Passive,Service is o.k. though I think other providers could do equally well.
ISP,718,8,Passive,
ISP,720,9,Promoter,Very happy with the services
ISP,724,0,Detractor,they suck poor customer service tv and interenet fades in and out
ISP,726,6,Detractor,cost
ISP,728,6,Detractor,service
ISP,729,9,Promoter,
ISP,730,10,Promoter,reliability and price
ISP,732,4,Detractor,they are now costing much more than i anticipated when i forst signed up
ISP,736,5,Detractor,"expensive as can be, don't watch the majority of the channels, not worth what I am paying"
ISP,737,8,Passive,
ISP,740,10,Promoter,No problems with Frontier and they assumed service when AT&T bailed out with no problems
ISP,741,6,Detractor,they're okay but a little to expensive
ISP,742,10,Promoter,
ISP,743,8,Passive,good enough service
ISP,744,8,Passive,cost
ISP,746,5,Detractor,Today my landline was down all day. Internet problems created a one hour on hold.
ISP,749,0,Detractor,
ISP,751,8,Passive,cool
ISP,752,10,Promoter,ALWAYS GET THE HELP I NEED
ISP,757,7,Passive,limtited channel access then what I had at beginning of service
ISP,758,4,Detractor,
ISP,759,9,Promoter,we have had an excellent experience with them compared to other companies
ISP,760,10,Promoter,Customer service
ISP,761,5,Detractor,
ISP,762,0,Detractor,Terrible company. Has a monopoly in our area.
ISP,763,5,Detractor,
ISP,767,9,Promoter,I have had this service for about a year and I am satisfied with it
ISP,770,7,Passive,trouble with billing
ISP,777,9,Promoter,
ISP,779,8,Passive,
ISP,782,10,Promoter,
ISP,788,6,Detractor,the prices are not reasonable
ISP,789,10,Promoter,The have given us excellent service for years
ISP,804,1,Detractor,price
ISP,808,8,Passive,
ISP,809,9,Promoter,great service and selection
ISP,810,4,Detractor,poor customer service & ever-increasing rates for less servicde
ISP,811,2,Detractor,Verizon does not seem to care about residential customers as far as telephone repair and coming in a timely manner to fix or repair phone lines and keep them repaired.
ISP,814,7,Passive,
ISP,815,8,Passive,
ISP,816,9,Promoter,its good
ISP,819,4,Detractor,
ISP,822,7,Passive,They are ok but seem priced a little high
ISP,823,8,Passive,I am satisfied with Brighthouse
ISP,824,7,Passive,price could be cheaper
ISP,825,5,Detractor,
ISP,826,8,Passive,
ISP,827,8,Passive,"Although I have only been using this bundled package for several days, the performance so far is good!"
ISP,830,10,Promoter,Time Warner will always help with any pronlrms that you have
ISP,837,8,Passive,"We love Uverse. But unless asked, I'm not one to recommend things to people."
ISP,838,2,Detractor,useless service and high cost
ISP,839,9,Promoter,Good uninterrupted service
ISP,840,10,Promoter,Reliability
ISP,841,5,Detractor,ATT customer service is horrible and if I had other options for internet service I would change.
ISP,844,7,Passive,The service hasn't been the best for reliability
ISP,845,1,Detractor,expensive. poor service
ISP,849,2,Detractor,"High prices, charges for converter boxes."
ISP,850,10,Promoter,Have used them for years and have had no problems & they have good customer service
ISP,852,8,Passive,the service is good but is slightly expensive.
ISP,853,10,Promoter,"great service, so far"
ISP,857,4,Detractor,poor service.
ISP,858,6,Detractor,This is a necessary evil.  I think they overcharge for the service.
ISP,859,7,Passive,Pricing is too nigh because there is no competition in my area
ISP,860,7,Passive,
ISP,861,6,Detractor,too expensive for what you get plus no one else in the area - you're screwed
ISP,862,6,Detractor,Only service in our area
ISP,864,9,Promoter,No one gets a perfect score
ISP,867,8,Passive,"I like the programming and customer service.  I do think it is over-priced, and my DVR malfunctions quite frequently"
ISP,869,5,Detractor,
ISP,871,0,Detractor,I don't recommend
ISP,872,7,Passive,Sometimes Time Warner is the only provider so you'd have to recommend but it hasn't always provided the best service and/or customer service
ISP,874,5,Detractor,just average
ISP,875,2,Detractor,"service is poor; cost is competitive, but excessive"
ISP,876,5,Detractor,Service not so good.
ISP,877,3,Detractor,The service and reception is terrible.  I have to renegotiate contract annually.
ISP,878,7,Passive,
ISP,879,7,Passive,"Their service cuts out infrequently.  But the customer service we experienced when we moved was good.  It took a while to get on their schedule, but they worked to get televisions, internet and phone hooked up all on one service call.  And they arrived during the one hour window they promised."
ISP,882,8,Passive,
ISP,885,5,Detractor,Too many problems.
ISP,886,4,Detractor,
ISP,890,10,Promoter,
ISP,892,6,Detractor,too expensive and  too complicated to deal with
ISP,896,0,Detractor,Horrible customer service. Horrible internet access.
ISP,897,7,Passive,"best in area, however - $$$"
ISP,900,0,Detractor,Horrible customer service and horrible billing and terrible service.
ISP,901,9,Promoter,
ISP,904,5,Detractor,Many outages have occured during the past year. Company claims it is upgrading service.
ISP,905,3,Detractor,Have had problems & getting resolutions has been spotty
ISP,908,8,Passive,Wait time for in home service
ISP,909,10,Promoter,They are a good company to deal with.
ISP,910,8,Passive,
ISP,911,10,Promoter,Service has been good
ISP,912,3,Detractor,They're the only service provider in my area and the customer service isn't great.
ISP,913,8,Passive,they are good
ISP,914,5,Detractor,Continuous raise  in rates which are already at top of competition
ISP,917,5,Detractor,"the cable is good, we have had only a few very short outages, however the internet is terrible it is out more than it is on and when you try to reach out to Comcast the wait is terrible, waited 2 hours last time and finally just hung up"
ISP,920,10,Promoter,excellent customer service
ISP,921,8,Passive,The service is reliable. AT&T offers more channels than other providers.
ISP,925,7,Passive,Service is good but the cost is too high.
ISP,926,9,Promoter,Good picture quality. Lots of choices and very little down time.
ISP,930,10,Promoter,"Works well for  LOW PRICE, good customer service"
ISP,931,5,Detractor,don't usually recommend things
ISP,934,2,Detractor,equipment from the dark ages. Needs to be rebooted all the time. The only way to find a record of missed phone calls is to load a program call VoiceConnect on you own computer - and keep it running even when you leave the home. What a WASTE? Why not store the info on TWC servers and allow the customer to log in and view the information?
ISP,935,9,Promoter,never had serious problems over the years.
ISP,936,5,Detractor,"Expense, Way too pricey."
ISP,938,9,Promoter,I have had no problem's with them.
ISP,940,7,Passive,they are hard to deal with over the phone and on line
ISP,944,8,Passive,New email service is not user friendly.
ISP,946,8,Passive,
ISP,948,7,Passive,
ISP,949,3,Detractor,They are too expensive.
ISP,950,10,Promoter,there good
ISP,951,3,Detractor,"Comcast is undependable with their billing. You never know what they are going to bill you and after agreeing to a price, often changes it to their benefit."
ISP,952,7,Passive,spotty service
ISP,953,8,Passive,Good service but do not like all of the equipment rental charges.
ISP,955,0,Detractor,I dont recomend any services or goods////////////////
ISP,956,8,Passive,
ISP,957,8,Passive,I've had no problems with my service
ISP,960,8,Passive,price too high. To get the channels I want I have to have a bundle that includes a bunch of sports channel....which NO ONE in my house watches. I love on demand.... but my price keeps going up. And I am having trouble with my wifi... and can't seem to get it resolved. It would be nice if they would send a tech out to check it. Plus need to attach the little box to go from Analog to digital on two TVs and they won't send a tech to help. (I have arthritis and can't twist the attachment myself) but they won't help without charging me.
ISP,962,8,Passive,They're pretty good with service but they have occasional outages and signal strength issues.
ISP,963,5,Detractor,It's basically the only game in town if you don't want to use satellite.
ISP,966,6,Detractor,
ISP,967,9,Promoter,
ISP,968,10,Promoter,BEEN WITH THEM 14 YEARS
ISP,969,9,Promoter,"Great quality, and lately the prices have gotten better."
ISP,970,6,Detractor,Customer service is not good
ISP,972,8,Passive,Service has been fine; prices just went up
ISP,975,8,Passive,Have used them a long time and have not had problems
ISP,976,8,Passive,like what they offer
ISP,977,5,Detractor,"Charter is too expensive.  They advertise $99 for the bundle, but ours is over $150 since we are current customers.  It isn't fair that we have to pay so much.  But, Charter is the only option for cable in our area.  We're trapped."
ISP,978,8,Passive,Their is some things that I am not happy with but I hear other people aren't 100% happy with their providers either so I will just live with it.
ISP,979,7,Passive,reliable
ISP,980,4,Detractor,high cost and poor customer service
ISP,982,6,Detractor,
ISP,984,6,Detractor,
ISP,989,7,Passive,I haven't had any issues with their service
ISP,990,1,Detractor,Not a very good company to work with
ISP,1001,10,Promoter,I never had a problem
ISP,1009,5,Detractor,
ISP,1012,7,Passive,
ISP,1014,7,Passive,"Pricey, but reliable."
ISP,1015,8,Passive,The customer service is always helpful and friendly
ISP,1016,9,Promoter,
ISP,1018,10,Promoter,
ISP,1020,6,Detractor,over priced!!!!!!!
ISP,1027,1,Detractor,
ISP,1030,9,Promoter,"My past and present experience has been great, i have no complaints hus far!"
ISP,1031,8,Passive,
ISP,1034,7,Passive,I don't rate Centry link that high since they have high prices.
ISP,1036,2,Detractor,
ISP,1039,8,Passive,"Relaible, but pricey"
ISP,1040,2,Detractor,creeping fees
ISP,1042,1,Detractor,"terrible customer service, costs too much, profit driven"
ISP,1043,9,Promoter,"have been with them for a long time; fastest internet, fair pricing"
ISP,1044,10,Promoter,"Great customer service, high internet speed, never any problems with the landline phone, and easy-to-use website."
ISP,1045,7,Passive,
ISP,1046,9,Promoter,RELIABLE SERVICES OFFERED AT A FAIR PRICE
ISP,1047,8,Passive,Pricing is too high though satisfied with service.
ISP,1048,9,Promoter,Mostly dependable....
ISP,1053,10,Promoter,
ISP,1054,8,Passive,
ISP,1058,8,Passive,I don't care
ISP,1059,10,Promoter,Quality product
ISP,1061,9,Promoter,Never goes out
ISP,1062,10,Promoter,because they are a fair company
