Respondent_Serial,NPS2
214200,as
216097,"As far as I know, we have never had a problem with them when we needed them.  They are prompt in paying a claim.  It's also handy to have your rep located here in town close to you."
296556,"Aside from picking company because of rates, I have not had any dealings with them."
196265,assholes
191582,Association with AARP
208962,At this point I like what I am seeing with this company
249269,Automatic withdrawal is always delayed and seems to take a different amount out every month
234603,"Average service, decent prices."
186610,Awesome company
284248,awesome customer service and rates
256186,"awesome customer service, great price for excellent coverage"
296609,Awesome rates and good customer service garenteed
207100,bad claim experience
242133,Bad customer service
190713,bad customer service when paying premium
274229,Bad experience
202835,Bad experience.
249026,Bad experiences with adjustor.
192310,based on my experience
188986,because
214266,Because
223938,because
298165,BECAUSE
209465,because I felt like it
210410,BECAUSE I HATE YOU.
207521,because i haven't had any trouble w allstate and the customer service is worth the price
195449,Because I like this insurance company but I'm pretty sure That is not the best
216291,Because I never had any problem with them.
197620,Because insurance is excellent miles experience was very good
191025,Because it is
187933,because it is a leader on market
296162,Because it is cheap
199021,because its important
241896,because Michael was so helpful.  any glitches (and they did) he worked with us and helped us through them.  It only took a couple of hours and we're ready to go.
213837,because no one is perfect
203628,because of the new promotions they have to offer.
277677,because of the service and price
224298,because that is the way i feel
285426,"Because the changeover was easy, the rate was definitely cheaper even though my coverage was the same with Progressive prior, the only thing I don't like is the rate has already gone up a couple dollars - small, but way too soon to be going up."
188467,Because the company provided me with good and excellent service.
221774,BECAUSE THEY ALWAYS OFFER TO HELP WITH THE LOWEST PRICES
210033,Because they are a very good company that puts their customers first.
263996,Because they are always there when you need them to be.
234185,Because they are great people and the are cheap and the will help you
190553,because they are reliable and have good rates and also great customer service.
216147,because they gave me a great rate to switch to them and then at 6 months raised my rate significantly
186712,Because they have always been wonderful and very helpful and good with their customer service to me and also to my father and for so many years
189216,Because they treat their customers better than all the rest their is no hassle for anything
189373,because this insuranse is new in my family they only have couple of months
296516,Because thy have been fair to me.
221426,Because we've been very pleased with our insurer.
198559,been content with the services
250513,been good to me
275763,Been good to me.  lowest rates
216266,been ok
249058,"Been pleased with them so far. Competitive, good rates and good coverage"
275064,been satisfied
208634,been very happy with USAA
213325,Been with American Family for a long time and know the agent well.
297990,Been with Mercury for a long time. Rates are better than almost all the others and their customer service has been excellent. They also responded to and settled a claim within a very short period of time (i.e. another car hit mine).
241417,Been with Nationwide for years. I like their rates.
204059,Been with the company for 2 days
253686,Been with the company for 30+ uyears
269034,"been with them a year ,enjoy going there instead of DMV,plus they saved me a ton of money on my insurance"
279020,"Been with them for many years,good co.,had no problems with them"
218044,"Been with them for over 25 years. cheapest, best policy have checked with several others throughout the years."
242767,Being they are great and helpful also very educational
192862,Believe they offer the most value for the price.
208787,Best
250678,Best coverage and price
260011,best covergae for the price
207792,best price
251394,Best price and very friendly
275760,Best price for quality of insurance.
187659,"best price, easy to sign up for"
192285,Best prices for comparable coverage
186795,"Best prices, easy to use all online."
275055,"Best prices, good service"
278807,best rate
195205,"Best rate I found, good reputation"
261963,Best rates
276568,Best rates
242097,Best rates for me and insurance agent is always available if needed and keep in touch with me about any changes I can make to reduce my insurance premium and maintain good coverage.
198842,Best rates for seniors and easy to work with
253710,Best rates that we found.
192920,"Best rates, never had any issues with customer service or claims process. Feel like I can rely on them."
197727,"best rates, service is not the greatest but decent"
198566,Best value
296451,Best value for money for me for the last 2 years
198724,better
257082,Better cost.  Substantial savings.
193455,better insurance and cheaper
202496,better prices
260004,better prices
245072,better prices and great customer service.
189571,better prices and policies
195344,BETTER PRICES FOR SAME COVERAGE
211706,better prices than most companies
254086,Better prices than other companies.
218403,Better rate
185722,Better rate and can follow claims and billing on website.
194851,Better rates
284226,better rates
189310,better rates and good customer service
187176,better rates than Farmer's
255809,better rates than I had with mercury
273594,"Better rates,great customer service"
295457,Better rates.
260833,Better service and rates for my specific needs.
295734,Brand new don't have any experience with customer service with usaa
187707,buena
187829,bueno
197083,bun is very safe and recommend
188862,CATERS TO MY NEEDS
189478,cheap
209398,cheap
219169,cheap
237058,cheap
277890,cheap
297167,Cheap and easy to navigate online
215433,cheap and good costumer service
211687,cheap and good service
216679,cheap but good
203876,cheap price
229122,CHEAP QUICK AND EASY
259681,cheap rate
225804,Cheap rates
198644,cheap rates and good customer service experience.
212747,"cheap, good coverage"
192081,"cheap, secure, rapid assistance"
261384,"Cheap, very easy to work with, upfront"
191316,cheaper
210676,cheaper
288349,cheaper
203100,cheaper and simpler than others
187969,CHEAPER- CLAIM RESPONSE ETC
208239,Cheaper prices than Allstate
203620,cheaper prices than competitors
186482,Cheaper rates
190295,"Cheaper than most, easy to sign up for"
216671,cheaper than other companies
295472,Cheaper then others
267293,"CHEAPER, SAMR COVERAGE"
199209,cheapest
208423,cheapest
277151,Cheapest and no issues.
247052,Cheapest rates available for our needs
270620,"cheapest, best"
251606,choice
188069,Claim process went well
198614,claim response
196143,claim service
271399,"Claims handling excellent experience,  Top notch customer service"
275900,Claims Service
298210,Communication/friendliness
203319,Compant appears to be top ranked. Rates were lower than my previous insurer.
264123,"Company has been responsive, willing to discuss details, easy to reach someone by phone, has local agent"
201471,"Company is new to us thus have had no experience with claims, etc."
248816,"Competative rates, easy payment options"
204307,Competitive and great customer service
278048,competitive in price
277141,"Competitive premiums; user-friendly website, e.g., for paying premiums; otherwise non-remarkable"
190675,competitive price
246007,Competitive prices
264396,Competitive prices ---
276316,competitive prices and great customer service
195008,Competitive prices and very easy website to navigate
202283,"Competitive prices, good service, great attorneys if involved in a case"
185777,Competitive pricing
266951,"Competitive pricing , always a live voice on end of phone line, great company!"
278453,"competitive pricing, good coverage"
284249,"competitive pricing, good reputation"
201575,Competitive pricing.
286976,Competitive pricing.
265736,"Competitive quotes, exceptional service."
210035,Competitive rates
276131,competitive rates
282098,competitive rates and friendly people
276065,Competitive rates and good customer service.
203045,Competitive rates and good service
276216,Competitive rates and local agents.
190222,"Competitive rates, competent and friendly office staff"
269554,concern for how they might deal with a large loss
258329,consistantly lowest price for the coverage
201777,consistency
189404,consistent
195510,Consistent pricing and service level.
211701,consistent quality
207228,Consistent quality service and reliability
209635,Consistent service and competitive rates if you have been with them for a long time.  Would not recommend if they are new to the market.
206908,"Consistently competitive, professional, friendly, local office for individual help"
217250,consistently free of any price increases or issues i need to contact them for
201054,consistently quality service. easy to file claims. no hassle or arguments. unbeatable price
206961,continuously rising premiums
187068,cool
209253,co-op
191657,cost
193621,cost
202483,Cost
218412,cost
245143,cost
256535,Cost
257615,COST
265043,cost
275786,cost
275892,COST
289509,Cost
290013,Cost
295818,Cost
297874,cost
208086,Cost & service
189609,cost and claims experience
279924,Cost and convenience
237950,Cost and local agents.
271692,Cost and service
213484,Cost and service.
212916,Cost and variety of product
216740,Cost benefit
211372,cost for coverage is exceptional
295024,cost for overall coverage and local agent
207640,cost for same coverage. insurance agent recommened and I trust them
186315,cost is too high
290849,Cost of plan
296270,Cost of services and quality of customer service
276535,Cost savings and ease of use
198755,"Cost versus service.  Cost is low, service is extremely good."
276188,cost was competitive for same benefits
222840,"Cost, coverage and past experience"
189199,"Cost, customer service"
233950,"cost, customer service, good range of discounts, reputable company"
295483,"Cost, ease of working with them."
289659,"cost, easy communication, you can email questions, do not have to call automated phone line"
276823,Cost. Also have been in business for a long time and have favorable ratings
255831,Costco discount
206585,Costly !
283377,"Costs to much, but excellent and friendly agent"
254533,"Courtesy of telephone staff, prompt claims processing, and fair premiums."
216895,Coverage
254547,coverage and cost
215258,Coverage as expected at a competitive price.
260567,COVERAGE DROPPED AFTER ACCIDENT.  CUSTOMER FOR 40 YEARS
276457,"coverage, personal service, face to face service, pricing"
246058,Customer representative was helpful in a high pressure situation.  Response was quick.  Proof of insurance was provided quickly.  Rates seemed in line with past experience.  Reputation seems good.
187321,Customer service
193105,customer service
193283,Customer service
201012,Customer Service
201739,customer service
203747,customer service
214930,Customer service
215863,customer service
221700,Customer service
242098,Customer service
255035,Customer service
269837,CUSTOMER SERVICE
280039,Customer Service
285281,customer service
295766,customer service
186791,Customer service - they may have the best of any company in any business.
259118,Customer service & competitive pricing
248362,Customer service & price
256120,Customer service and claims processing are horrible
266229,Customer service and experience of friends
260038,Customer service and price
277359,customer service helpful and knowledgeable
204791,Customer service is excellent.  They have a quick response time.  Rates are competitive.
200896,Customer Service is excellent.  Very reliable and efficient
276021,Customer service is friendly and willing to help with any questions or problems
260017,customer service is good but rates are somewhat higher than others
187079,Customer service is great rates were too high
218726,Customer service is helpful
201041,Customer service is very good.
200315,"Customer Service reps are quite helpful in explaining all options, looking for ways to enable additional discounts with the resulting low cost of insurance compared to most other insurers."
282853,Customer service was excellent and the rate was lower than I paid but had higher coverage
278680,Customer service was great and so were the quotes.
213970,"Customer service, claim payments, ease of paying bills, understanding the policy"
200003,"customer service, cost"
278954,"Customer service, Pricing"
250628,"customer service, prompt response"
248652,Customer service/price
188377,cuz
190523,d
248385,d
249193,dasfads fda fdas fdsaf asfasdasf
193863,decent customer service but unexplained rate increases
202992,Decent insurance services
188651,Decent pricing
220591,decent pricing but uninformed agents
295055,Decent pricing. We have been happy with the service so far; we haven't filed any claims with them.
201212,decent rates
214700,Decent rates and my wife's friend works there
231496,Decent service
209049,dependability
255465,dependable
216700,Dependable and reliable
259650,"dependable, no hassle"
241827,"dependable, pay without hassle"
261671,"Dependable, road-side assistance, discounts (e.g., hotels)"
248655,"Depends on needs, quote, etc.  Many companies to choose from and one may be a better fit then Allstate."
263183,Did not have any problems during the claims process
192775,didn't pay as much as they should have
200605,different
220291,different prices for different people AAA was cheap for me
207069,Discounts for being a loyal customer and very price competitive
191342,dk
189856,Do not make recommendations to anyone for anything
208697,"Do not make recommendations unless I have had really poor service from a company. Then, I would advise to not utilize their service. I am reluctant to make positive recommendations in case others do not feel as I do. Don't want the responsibility"
264277,"Do not normally make recommendations, but I am very happy with this insurance plan and have not found another agency that compares pricewise."
207215,do not recommend anything to friends
186014,Do not recommend have not have them that long
193971,do not recommend to friends
260242,do;lkd
186155,does the job
282852,does what I want
207831,Don't have enough longevity with them yet to recommend
207719,dont know
228333,DONT KNOW
203366,don't know enough
210885,don't know enough about them
242134,don't know enough about them
257251,Don't know many people
202832,dont know them well enough yet
189362,DON'T KNOW YET HOW I FEEL ABOUT HARTFORD.
187850,don't make such recommendations
220653,Don't really know enough about them as I haven't filed a claim.
213408,Don't recommend
237707,Don't tend to recommend such things to others
231404,dont usually recommend
274216,During my claims communication was very lacking and just didn't like the process
255875,"During my recent claim, everyone that I spoke with was helpful, friendly, courteous and kind."
211399,ease
186702,Ease of billing
297197,ease of getting a quote and purchasing a policy online
186832,"Ease of getting my questions answered, and good customer service"
233913,Ease of getting quote and policy; great customer service
295694,Ease of information access and good value
295501,"Ease of obtaining a quote; saving $400+ yearly and easy, online access."
296580,Ease of obtaining and able to use computer and do everything from home
208783,Ease of purchase
192165,"Ease of purchase, offered most economical option"
195582,Ease of service and Snapshot feature
199087,ease of use
190201,Ease of use and price
208653,"Ease of use- billing, adding a new vehicle"
212597,ease of use no problems with them
204899,easy access to file a claim by telephone
214637,Easy and affordable
212258,Easy and built around tech
280094,Easy and less expensive
200582,easy and reliable service.  local branches
276898,Easy and straightforward insurance with good coverage and competitive rates
280127,Easy and very competitive rates
272067,Easy but not a great price
188382,"easy claim settlement, reasonable premiums"
206776,easy claims and easy web chat
198583,easy sign up.  good rate and billing service
214108,easy simple userfriendly
188226,"Easy to apply, easy to use website, low cost!"
195348,easy to change features online
222253,"easy to change, good customer service, good price"
186281,easy to deal with
187195,easy to deal with
259101,easy to deal with
262757,Easy to deal with
236940,"easy to deal with, and call center always friendly"
186140,"easy to deal with, online only provider with good rates"
276290,Easy to deal with.
281000,Easy to deal with.  Good rates. Great turnaround
193147,Easy to deal with.  Prices are lower than other companies.
192054,easy to deal with; no problems; helpful agent; good rates
192031,easy to do business with
232833,Easy to do business with
214913,easy to do business with and price competitive
254171,"easy to do business with, easy sign-up.  Fair prices"
296375,easy to navigate website and great customer service
275099,"easy to obtain, lower rate, name is familiar"
270382,easy to process claims
210096,Easy to sign up with good cost and savings.
195895,"Easy to sign up,people are knowledgeable and friendly answer all questions."
202638,Easy to switch and better rates
226773,easy to switch and good prices
248766,easy to understand and use
214076,easy to use
209351,easy to use and fairly cheap
298196,easy to use and price
212144,Easy to use website
213422,easy to use website
187963,"Easy to use, good price."
205944,"Easy to use, pretty good rate."
235848,"Easy to use. Friendly,efficient staff. Paid my claim with moderate fuss."
194679,easy to work with
196228,easy to work with
223715,easy to work with
241463,EASY TO WORK WITH
251479,Easy to work with
189329,easy to work with and good prices
233013,Easy to work with and great customer service. Good prices as well.
278076,easy to work with and it's the cheapest with comparable coverage
186353,Easy to work with and never had an issue with a claim.
188122,Easy to work with and priced correctly
280066,easy to work with and settles claims fairly
206243,Easy to work with good price
209249,Easy to work with when I had a claim.  Expecting no rate increase when I add my 15yo son to my insurance soon.
206242,"easy to work with
competitive price"
206047,"easy to work with, conpetitive pricing"
187948,"Easy to work with, fair prices I have never filed a claim, so I don't know how well that would go."
275323,"Easy to work with, great coverage, and competitive rates."
189827,"Easy to work with, help you understand your policies and what they do and don't cover.  There if you have any problem."
219788,"Easy to work with, reasonable premiums"
274317,Easy to work with. Good rates.
284367,Easy to work with. Lowest rates. Committed.
201275,Easy to work with. They are always available to answer any questions I may have. They are very respectful.
278729,Easy to work with. Very responsive in short order.
199566,Easy transition to new insurance policies
259647,"EASY, TRUSTWORTHY AND INEXPENSIVE"
216744,eee
217925,"efficient, reasonable"
188777,eficient
198298,encompass has worked for me
249367,es una buena compania de seguros para carros
296636,Esurance has been very easy to work with and are always quick to respond to my questions/ inquiries.
208936,Esurance was easy to deal with and had a much better rate.
245590,"Even though my rate has increased, they are easy to deal with when claims are involved and can accept documents/pictures online/phone text. Very convenient."
261877,Everyone at State Farm was extrememly helpful and we were able to save money when we switched to State Farm.
191434,Everyone in my family (parents and sister) uses Geico and they have for quite some time. Never had any problems and claims are always paid in a timely manner
196679,"everytime I do a quote to get a better price, they are always the cheapest"
217801,excellant customer service  and fair prices
196773,excellent
297128,excellent
187316,Excellent and safe company
191167,Excellent communication with Hartford about discounts and reductions in rate due to changes in driving habits.
241499,excellent company all around
277280,Excellent coverage for a reasonable price
188065,excellent customer servic
186252,excellent customer service
187187,excellent customer service
187722,excellent customer service
206502,Excellent customer service
213412,Excellent customer service
216119,excellent customer service
268040,Excellent customer service
276178,excellent customer service
276332,excellent customer service
281952,excellent customer service
273138,Excellent customer service and cost.
185788,Excellent customer service from my local agent. Claims are processed quickly and efficiently.  My rates were recently lowered on my auto due to a change in driving habits.
261041,"Excellent customer service, best value for the money, and biggest variety of insurance options available."
188329,"Excellent customer service, patriotic and greatly support the military, great value and rates"
225126,"Excellent customer service, they respond to any problem you might have"
241431,Excellent customer service.
278340,Excellent Customer Service.
234370,Excellent customer service. Very responsive. Excellent website.
217556,Excellent insurance and only pay monthly premium 10 months out of the year and get annual dividends back.
232283,Excellent insurer of home & auto
297595,Excellent price for the coverage obtained
206208,"Excellent price, service and conveinince"
278948,Excellent prices and Service
296810,Excellent pricing
187776,excellent product in all areas
196671,Excellent rate and excellent customer service. Customer service reps are always knowledgeable and will to offer money saving alternatives.
259349,excellent rates
278206,Excellent rates and customer service
189858,excellent rates and cusyomer svc
269593,Excellent Rates and Service
269322,"Excellent rates, excellent service"
185703,Excellent Service
188249,Excellent service
188517,excellent service
199019,EXCELLENT SERVICE
200953,excellent Service
204004,excellent service
208354,excellent service
242705,Excellent service
248978,excellent service
232710,Excellent service across the board.
203323,Excellent service and prices
297814,Excellent service over the past several years
262558,Excellent service when needed
244402,"excellent service, etc."
255072,"Excellent service, rates and assistance.  Quick claim processing, local, friendly"
265133,Excellent Service.
286233,Excellent service. Have never had an issue when filing a claim.
189160,EXCELLENT SERVICE...PLEASANT AGENTS
245681,Excellent service-fair prices
210868,Excellent services and rates
186042,EXELLENT SERVICE ANF FRIENDLY AGENTS
188322,expensive
195721,expensive
258177,Expensive
261246,expensive
256528,expensive but leader in technology
193541,experience
222237,experience has been good
185977,extremely satisfied
278925,extremely slow claims process
206531,fair and timely
198615,Fair competitive rates
275846,fair compoetitive rates and excellant customer service
202692,"Fair premiums, great service."
189504,fair price
190029,fair price
275514,fair price
205640,Fair prices
208218,Fair prices great coverage
200465,fair pricing
262351,Fair pricing
271170,fair pricing
220332,Fair pricing and agent is quick to respond and take care of any questions or issues I may have.
275049,FAIR PRICING AND CUSTOMER  SERVICE
275083,Fairly inexpensive.  No issues.
207169,Fairly new with then and don't truly know how they respond to customers yet.l
214814,fantastic customer service
196161,"Fantastic customer service, including for claims"
211858,farmers has been a good loyal team player
189500,farmers has been great to us.  we recently added a 16 year old son to our policy and they were very helpful in getting us all of the discounts that were available.
217392,"Farmers is a member of A.L.E.C.  I buy it for the price but would never do it if money were not an issue.  Also, I'm not in the habit of recommending products/companies to others."
219290,fast
206600,Fast and excellent service the majority of the time.  Had only 1 exception that I considered not ordinary
261761,fast claims
209578,fast handle
209962,fast response & quick action
195820,Fast service and easy to use
203467,fdsf
203187,fdssfdabad fddsd
214735,Financially secure and long history
189312,fine
244239,"First rate insurance company with exceptional customer service.  I was able to get complete coverage, better coverage, for less than I was getting with my current carrier.  All of my questions, which there were alot, were answered by the one rep that handled my account from start to finish."
235286,"First time customer, but was recommended by a friend. Have yet to see if service is good."
296052,"For high quality service,customer satisfaction ,and well known brand"
196164,for the most part been a good insurance company
191069,"For the state of Arizona, AZ AAA is the lowest priced  auto and home insurance, we have looked at many, many companies and no other insurance company could come close to their price."
260089,"friendliness,helpful"
186999,Friendly and helpful customer service. Easy navigation of website. And cheap auto rates
228199,Friendly and they gave us the best rate
202503,friendly competent service & competitive pricing
210534,Friendly Customer Service
266739,"Friendly personnel, good rates"
283659,Friendly service
199929,"Friendly, efficient, good prices"
285052,"friendly, knowledgeable customer service dept. AND great price!"
192065,"Fully satisfied with cost, service, responsiveness to inquiries, flexibility offered in coverage/ payments, friendliness."
190175,Gary Kochman and his one employee always treated me and my family good. They help to make sure that I am taken care of.
242003,Geat service and prices
191425,Geico has a great customer services department as well as offer multiple discounts and services that will help lower your bill.
193170,Geico has been a good company so far for my needs.
186223,Geico has overall given me good service for the price.
202119,Geico has the best rates for me.
189186,Geico is a great company
249117,Geico is awesome! Always quick and friendly. It's easy and convenient with customer service and their apps.
187548,Geico is very promint when dealing with my needs
191103,GEICO was easy to work with and I got coverage quickly once I had contact with the local agent.
200915,Geico was very helpful and offered a great deal to me.
276975,Generally happy with service and rayes
244259,"Generally OK responses, but local agent is best. Recent claim handled well."
196440,genial
191580,GET COMPANY TO DO BUSINESS WITH...
262052,God value and coverage.
226106,Goid customer service
186371,good
187117,good
187373,good
188445,GOOD
188476,good
188503,good
190783,good
196971,good
197348,good
213791,GOOD
218002,good
221203,Good
225555,good
280496,good
282803,good
283381,good
190064,good agent
228648,"good agent, fair prices, explained terms and policy"
232275,"Good agent, fair pricing"
283244,"Good agent, great rates and easy website and payments"
189906,good agents
203074,good and cheap
186394,Good and Fair compnay
198832,"good auto coverage, good customer care"
287384,good but havent had it long so not sure.
210532,good claim service
186265,Good claims history and professional follow up
240254,Good claims process
186199,Good claims service
286153,good claims service
187144,good co
265262,Good communication
187634,Good company
189635,good company
192019,good company
193943,good company
197375,Good company
198586,good company
198649,good company
200967,good company
202191,good company
202725,good company
206875,good company
207485,good company
209525,good company
211681,GOOD COMPANY
215308,Good company
228365,Good Company
272022,good company
276275,good company
281058,Good company
284289,Good company
278336,Good Company and easy to work with.
192563,good company and price
286255,Good Company and provide great value
186889,Good company and very reasonable pricing
186563,Good Company but seems like they call all the time to offer products
295368,Good company but there are so many options out there and everyone has different needs
193609,good company good
188148,Good company if you qualify
276555,good company never any problems and good price
296915,good company to work with.  contact with agent is immediate.
194268,good company to work with. always courteous and respectful...even if I am wrong!
189633,Good company with a good reputation
190604,Good company with a solid reputation and competitive pricing where I live.
234460,"good company, friendly agents, good price"
270272,"Good company, good claims service, reasonable pricing"
188054,"Good company, great experience."
216306,GOOD COMPANY. EASY TO WORK WITH. RESPOND TO ANY QUESTIONS AS SOON AS POSSIBLE.
297992,Good company. Tries to get you the cheapest rates with the most coverage
195176,GOOD COPANY
218644,good coverage
296743,Good coverage & reasonable pricing
295154,Good coverage and excellent pricing for seniors
205537,Good coverage and excellent rates
229950,Good coverage and low premium rates
210724,good coverage and lower premiums than others
246065,Good coverage and price
186350,Good coverage and response to a claim
193524,Good coverage at a fair price
284680,good coverage at best price
191296,Good coverage at low rates
280198,Good coverage for the price
278555,Good coverage for what I need
186526,"good coverage, moderate price increase"
186788,Good customer service
187591,GOOD CUSTOMER SERVICE
188408,good customer service
193984,good customer service
195611,Good customer service
196112,Good customer service
196366,Good customer service
198076,good customer service
198246,good customer service
202335,good customer service
207709,Good customer service
213315,good customer service
214069,good customer service
214423,good customer service
218977,Good customer service
221357,GOOD CUSTOMER SERVICE
251252,good customer service
254266,Good customer service
261438,Good customer service
274163,Good customer service
276105,Good customer service
279977,Good customer service
211718,Good customer service and affordable price for coverage levels. Negative is the requirement of annual AAA membership - this should be considered with annual rates.
186843,Good customer service and better rate than previous insurance.
221580,good customer service and competitive rates
195258,good customer service and decent rates
215179,good customer service and good rates
187535,good customer service and it is affordable
186157,Good customer service and pricing
189557,Good customer service and pricing
202819,Good customer service and quality product!
192253,Good customer service at a fair price
203887,good customer service but rates are higher than I would like and in New York State they do not offer good driver discount checks or other good driving discounts
252030,Good customer service quick to settle claims without raising rates.
293106,"Good customer service,  great claims"
207870,"Good customer service, competitive rates."
198915,"good customer service, they have what I want"
186879,"Good customer service, try to help you as much as they can"
185752,Good customer service.
229986,Good customer service. Agents are very helpfull and friendly.
193636,good customer service; low rates compared to other quotes i've received
259842,good estimates
276024,Good experience and helpful customer service
203999,Good experience so far
209121,Good experience so far
283607,good experience so far
215314,Good experience so far.
297979,Good experience so far.
200970,Good experience with carrier
214654,"Good experience with company but I haven't had to file any claims yet so I'm not sure how the process would be, also not sure if others would be cheaper"
196700,Good experience with company.
188610,"Good experience with company.,"
202864,good experience with progressive
200344,good experience with the company
258384,"Good experience with their homeowners insurance settling claims, good customer service"
199627,Good experience with them
208699,good experiences
188553,GOOD EXPERIENCES WITH ALLSTATE
222325,Good Experiences with claims and service
208622,"Good experiences with them so far, but nothing outstanding"
216061,Good fair service and rates
249382,good for low prices. affiliated with allstate
187214,Good friendly service in the past.
296652,good history with them
296736,Good initial customer service.  Decent prices.
210206,good ins. good prices
232044,good insurance
275221,Good insurance company and I like that I can go in and talk to agent.
236062,good insurance coverage and customer service
212485,Good interactions with company regarding policy questions and clarifications. Price was also the lowest and covered everything I needed in a policy.
202650,"Good local agent.  Price is about the same as other insurance companies.  Therefore would recommend if other person were
dissatisfied with present company service"
261538,good local customer service
238514,GOOD LOW COST INSURANCE
188534,good people
258466,good policy included pool which others did not
187075,Good price
203723,good price
213241,good price
213530,good price
232598,good price
253690,good price
268349,Good price / service
222740,Good price and coverage
209703,Good price and good communication.
243815,Good price and good previous experience
188675,good price and good service
285455,Good price and quick at settling claims
202364,good price and service
202861,Good price and service and easy to claim
261181,good price but service not great
192801,good price for better coverage
204483,Good price for coverage
286827,Good price for the coverage - good experience in the buying process
249137,Good price for the coverage but I don't like that we are required to insure our car with them as well
262872,good price on insurance for aaa members
214010,Good price point
215163,Good Price!!  Good Customer Service!!
248629,"good price, easy to sign up for, easy to use online"
212046,"Good Price, good coverage, helpful agent"
196687,"Good Price, Mobile App and flexibility"
248670,Good price.
216030,Good price.  Reliable company.
297735,Good price--good communication--easy access
190866,Good prices
192832,GOOD PRICES
194838,good prices
196171,good prices
201554,good prices
213007,good prices
215643,Good prices
227518,good prices
234502,good prices
237702,Good prices
277160,Good prices
280439,GOOD PRICES
295228,good prices
297868,good prices
266038,Good prices - easy to understand - friendly agent
207633,good prices and customer service
189416,Good prices and great customer service
